ID,testlogloss,trainlogloss,eta,nrounds,num_parallel_tree,max_depth,max_delta_step,colsample_bynode,colsample_bylevel,colsample_bytree,subsample,grow_policy,tree_method,booster,alpha,lambda,objective,with_pca,with_important_only,drop_ctl,DirectoryPath,c_pca_thresh
101,0.0176600852544165,0.00609111524621036,0.05,200,10,4,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
102,0.0172616087417794,0.0153925225777508,0.05,200,10,1,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
103,0.0179526592310039,0.00431767472210459,0.05,200,10,5,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
104,0.018885880999139,0.00488124294283775,0.01,3000,1,2,3,0.5,0.7,1.0,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
105,0.018610579024088,0.00297515354429466,0.05,500,10,3,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
106,0.0179582814951002,0.00432032535832325,0.05,200,10,5,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
107,0.0168968518541511,0.0124433726883168,0.1,200,10,1,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
108,0.0182720048692798,0.00324747896000637,0.05,200,10,6,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
109,0.0186084467800356,0.00297359996629607,0.05,500,10,3,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
110,0.0182898568499947,0.00324516775981836,0.05,200,10,6,3,0.5,0.7,0.5,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
111,0.0189029307835938,0.00487784619713422,0.01,3000,1,2,3,0.5,0.7,1.0,0.7,depthwise,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
112,0.0168681730520764,0.0121734478894982,0.05,200,10,2,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
113,0.0196250369136475,0.00141728457793385,0.05,500,10,4,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
114,0.0202390087033359,0.00208012717011928,0.01,3000,1,3,3,0.5,0.7,1.0,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
115,0.017021826356376,0.00738175591388268,0.1,200,10,2,3,0.5,0.7,0.5,0.7,lossguide,hist,gbtree,,,binary:logistic,1,0,0,.GRID_SEARCH_RESULTS.db/Results/,0.8
